Nombre,Anyo,Roles,Peliculas,Premios
Peter Cohen,-1,Edición. Edición. Efectos visuales,"Tom Petty and the Heartbreakers: Don't Come Around Here No More, Nobody Knows Anything!, Asalto final",Otros premios
Stephen Colbert,1964,Guion. Producción. Reparto,"The Late Show with Stephen Colbert, The Colbert Report, Las noticias de Jon Stewart",Ganó 10 premios Primetime Emmy
Mike Connors,1925,Reparto. Producción. Equipos adicionales,"Mannix, Los diez mandamientos, Swamp Women",Nominado para 4 premios Primetime Emmy
Paul Dooley,1928,Reparto. Guion. Producción,"El relevo, 16 velas, Hairspray",Nominado para 2 premios Primetime Emmy
Murphy Dunne,-1,Reparto. Guion. Equipos adicionales,"Granujas a todo ritmo (The Blues Brothers), Blues Brothers 2000, El autobús atómico",No tiene premios
Robert Englund,1947,Reparto. Equipos adicionales. Dirección,"Pesadilla en Elm Street, Freddy contra Jason, Pesadilla en Elm Street 4",Otros premios
Malindi Fickle,-1,Reparto. Dirección. Edición,"Suck It Up Buttercup, By the People, Los Ojos de la Víctima",Otros premios
Alice Frank,-1,Reparto. Dirección. Guion,"Flow-ers, Open, The Source",No tiene premios
Vani Kovitch,-1,Reparto,"St. Andrew's Girls, As the World Turns, Wilted Flowers",No tiene premios
Wendy Walker,-1,Reparto,"Ley y orden: Unidad de Víctimas Especiales, Waiting in the Wings, St. Andrew's Girls",No tiene premios
Donna Jeane Bagnole,-1,Reparto,"MacGuffin, St. Andrew's Girls",No tiene premios
Alan Benson,-1,Reparto,St. Andrew's Girls,No tiene premios
Sunah Bilsted,-1,Reparto. Guion. Producción,"#twitterkills, Happythankyoumoreplease, Alias",Otros premios
Mandy Bisesti,-1,Maquillaje. Reparto,"West Side Story, tick, tick... Boom!, La ballena",No tiene premios
